,Name,Author,Genre,User Rating,Reviews,Weighted Rating
97,Giraffes Can't Dance,Giles Andreae,Fiction,4.8,14038.0,4.799522518973034
258,The Help,Kathryn Stockett,Fiction,4.8,13871.0,4.799516785630245
341,When Breath Becomes Air,Paul Kalanithi,Non Fiction,4.8,13779.0,4.799513567931779
115,Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,Fiction,4.8,13471.0,4.799502476646835
226,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,Non Fiction,4.8,12361.0,4.799457933097714
31,Being Mortal: Medicine and What Matters in the End,Atul Gawande,Non Fiction,4.8,11113.0,4.79939726049735
53,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,Fiction,4.8,10922.0,4.7993867555931615
343,Where the Wild Things Are,Maurice Sendak,Fiction,4.8,9967.0,4.799328214168877
257,The Hate U Give,Angie Thomas,Fiction,4.8,9947.0,4.799326868444055
164,Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,Non Fiction,4.8,9867.0,4.799321431194008
289,The Pout-Pout Fish,Deborah Diesen,Fiction,4.8,9784.0,4.7993156964204715
130,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,Non Fiction,4.8,9737.0,4.7993124058262175
102,Go the F**k to Sleep,Adam Mansbach,Fiction,4.8,9568.0,4.79930030760494
18,Alexander Hamilton,Ron Chernow,Non Fiction,4.8,9198.0,4.799272274449968
237,The Day the Crayons Quit,Drew Daywalt,Fiction,4.8,8922.0,4.7992498554018805
148,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,4.8,8916.0,4.799249352680158
107,Goodnight Moon,Margaret Wise Brown,Fiction,4.8,8837.0,4.7992426701087965
338,What Should Danny Do? (The Power to Choose Series),Adir Levy,Fiction,4.8,8170.0,4.799181120329652
229,The Book with No Pictures,B. J. Novak,Fiction,4.8,8081.0,4.799172142713163
173,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,Non Fiction,4.8,7866.0,4.799149620972473
198,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,Non Fiction,4.8,7802.0,4.799142678217304
4,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,Non Fiction,4.8,7665.0,4.79912742853096
138,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,Non Fiction,4.8,7062.0,4.799053310965693
259,"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,Fiction,4.8,6982.0,4.79904252094963
57,"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,Fiction,4.8,6812.0,4.799018755226376
225,The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,Fiction,4.8,6600.0,4.798987412165957
59,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,Fiction,4.8,6540.0,4.7989781746306
275,"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,Fiction,4.8,6247.0,4.798930530640588
179,Old School (Diary of a Wimpy Kid #10),Jeff Kinney,Fiction,4.8,6169.0,4.798917089034072
331,Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,Non Fiction,4.8,6108.0,4.798906339226274
278,The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,Fiction,4.8,5898.0,4.79886764187792
244,The Getaway,Jeff Kinney,Fiction,4.8,5836.0,4.798855687816355
111,Guts,Raina Telgemeier,Non Fiction,4.8,5476.0,4.79878096400244
172,"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,Non Fiction,4.8,5347.0,4.7987517560448465
250,The Going-To-Bed Book,Sandra Boynton,Fiction,4.8,5249.0,4.798728614178104
72,Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,Fiction,4.8,5118.0,4.798696305440438
192,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,Fiction,4.8,4757.0,4.798598134031175
266,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,Fiction,4.8,4628.0,4.7985593686056704
271,"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,Fiction,4.8,4506.0,4.7985206811678305
37,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,Fiction,4.8,4505.0,4.798520355470157
299,"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,Fiction,4.8,4290.0,4.798446834884551
113,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,Non Fiction,4.8,4148.0,4.79839413489736
45,Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,Non Fiction,4.8,4022.0,4.798344285426325
203,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,Non Fiction,4.8,3923.0,4.798302892561983
46,Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,Non Fiction,4.8,3871.0,4.798280310784405
58,Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,Fiction,4.8,3837.0,4.798265218003473
333,Watchmen,Alan Moore,Fiction,4.8,3829.0,4.7982616281804065
156,Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,Non Fiction,4.8,3828.0,4.798261178407621
308,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,Fiction,4.8,3796.0,4.798246661765054
124,Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,Non Fiction,4.8,3776.0,4.79823746513125
127,Humans of New York,Brandon Stanton,Non Fiction,4.8,3490.0,4.798094543392531
285,"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,Non Fiction,4.8,3428.0,4.798060448642267
65,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,Fiction,4.8,3181.0,4.79791157692525
167,"Mastering the Art of French Cooking, Vol. 2",Julia Child,Non Fiction,4.8,2926.0,4.797731844261038
286,The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,Non Fiction,4.8,2876.0,4.797692912648628
235,The Constitution of the United States,Delegates of the Constitutional,Non Fiction,4.8,2774.0,4.797609197632677
284,"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,Non Fiction,4.8,2663.0,4.797510909090909
149,Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.),Anthony Bourdain,Non Fiction,4.8,2507.0,4.797358276157804
324,"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,Fiction,4.8,2282.0,4.797101964012701
295,"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,Fiction,4.8,2091.0,4.796841848940534
121,Have a Little Faith: A True Story,Mitch Albom,Non Fiction,4.8,1930.0,4.79658335259047
218,The 5000 Year Leap,W. Cleon Skousen,Non Fiction,4.8,1680.0,4.796085879176153
273,The Love Dare,Stephen Kendrick,Non Fiction,4.8,1655.0,4.796028046421664
48,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,Non Fiction,4.8,1329.0,4.795080127778517
28,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,Non Fiction,4.8,1296.0,4.794958330491713
187,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,Fiction,4.8,548.0,4.788511888111889
240,The Fault in Our Stars,John Green,Fiction,4.7,50482.0,4.699940209714077
276,The Martian,Andy Weir,Fiction,4.7,39459.0,4.69992352275029
220,The Alchemist,Paulo Coelho,Fiction,4.7,35799.0,4.699915711980842
261,The Hunger Games (Book 1),Suzanne Collins,Fiction,4.7,32122.0,4.699906074646147
260,The Hunger Games,Suzanne Collins,Fiction,4.7,32122.0,4.699906074646147
80,Educated: A Memoir,Tara Westover,Non Fiction,4.7,28729.0,4.699894995986424
125,How to Win Friends & Influence People,Dale Carnegie,Non Fiction,4.7,25001.0,4.699879361552259
243,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Non Fiction,4.7,23308.0,4.699870612745576
41,Catching Fire (The Hunger Games),Suzanne Collins,Fiction,4.7,22614.0,4.699866648472273
3,1984 (Signet Classics),George Orwell,Fiction,4.7,21424.0,4.699859254207421
6,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,Fiction,4.7,19735.0,4.699847231162526
7,A Gentleman in Moscow: A Novel,Amor Towles,Fiction,4.7,19699.0,4.699846952500277
2,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,Non Fiction,4.7,18979.0,4.699841157685395
168,Milk and Honey,Rupi Kaur,Non Fiction,4.7,17739.0,4.699830077325914
0,10-Day Green Smoothie Cleanse,JJ Smith,Non Fiction,4.7,17350.0,4.699826275639585
90,First 100 Words,Roger Priddy,Non Fiction,4.7,17323.0,4.699826005446166
64,Doctor Sleep: A Novel,Stephen King,Fiction,4.7,15845.0,4.699809813282046
122,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,Non Fiction,4.7,15779.0,4.699809019634893
350,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,Non Fiction,4.7,14331.0,4.699789772727272
222,The Art of Racing in the Rain: A Novel,Garth Stein,Fiction,4.7,11813.0,4.699745101649406
326,"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,Fiction,4.7,11676.0,4.699742120254884
306,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,Non Fiction,4.7,11550.0,4.699739316004614
186,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,Non Fiction,4.7,10820.0,4.6997217882053475
166,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,Non Fiction,4.7,10199.0,4.699704909588263
32,Between the World and Me,Ta-Nehisi Coates,Non Fiction,4.7,10070.0,4.69970114322207
24,Astrophysics for People in a Hurry,Neil deGrasse Tyson,Non Fiction,4.7,9374.0,4.699679040967533
201,"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,Non Fiction,4.7,9366.0,4.699678767898059
145,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,4.7,9342.0,4.6996779458946
336,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,Non Fiction,4.7,9292.0,4.699676219803351
263,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non Fiction,4.7,9289.0,4.699676115649309
309,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,Non Fiction,4.7,9030.0,4.69966686385193
254,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,Fiction,4.7,8587.0,4.699649751222803
245,The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,Fiction,4.7,7747.0,4.699611954592171
247,The Girl Who Played with Fire (Millennium),Stieg Larsson,Fiction,4.7,7251.0,4.699585545354755
246,The Girl Who Played with Fire (Millennium Series),Stieg Larsson,Fiction,4.7,7251.0,4.699585545354755
315,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,Non Fiction,4.7,7034.0,4.699572826268626
302,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,Fiction,4.7,6377.0,4.69952906993225
314,The Wright Brothers,David McCullough,Non Fiction,4.7,6169.0,4.699513286262561
8,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,Non Fiction,4.7,5983.0,4.699498248263365
78,Eclipse (Twilight Sagas),Stephenie Meyer,Fiction,4.7,5505.0,4.69945497194974
79,Eclipse (Twilight),Stephenie Meyer,Fiction,4.7,5505.0,4.69945497194974
301,The Sun and Her Flowers,Rupi Kaur,Non Fiction,4.7,5487.0,4.699453195971299
81,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,Non Fiction,4.7,5413.0,4.69944577147623
175,Night (Night),Elie Wiesel,Non Fiction,4.7,5178.0,4.699420796653012
129,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,Non Fiction,4.7,4896.0,4.699387685900153
42,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,Non Fiction,4.7,4761.0,4.699370457387548
232,The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,Non Fiction,4.7,4633.0,4.699353202258128
332,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,Non Fiction,4.7,4585.0,4.699346485189411
83,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,Fiction,4.7,4370.0,4.699314602801329
265,The Last Lecture,Randy Pausch,Non Fiction,4.7,4028.0,4.699256938387566
307,The Twilight Saga Collection,Stephenie Meyer,Fiction,4.7,3801.0,4.699212989720025
33,Born to Run,Bruce Springsteen,Non Fiction,4.7,3729.0,4.699197943320621
92,Frozen (Little Golden Book),RH Disney,Fiction,4.7,3642.0,4.699178976500532
114,Harry Potter Coloring Book,Scholastic,Non Fiction,4.7,3564.0,4.699161192598016
223,The Big Short: Inside the Doomsday Machine,Michael Lewis,Non Fiction,4.7,3536.0,4.699154619240262
189,Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,Fiction,4.7,3503.0,4.699146738572162
216,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,Non Fiction,4.7,3477.0,4.6991404253117395
194,Radical: Taking Back Your Faith from the American Dream,David Platt,Non Fiction,4.7,1985.0,4.69850615951803
337,What Pet Should I Get? (Classic Seuss),Dr. Seuss,Fiction,4.7,1873.0,4.698418562589244
43,Crazy Love: Overwhelmed by a Relentless God,Francis Chan,Non Fiction,4.7,1542.0,4.698087051643734
303,"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,Fiction,4.7,1463.0,4.697986303030303
202,Sh*t My Dad Says,Justin Halpern,Non Fiction,4.7,1265.0,4.697680072615557
205,Sookie Stackhouse,Charlaine Harris,Fiction,4.7,973.0,4.697009360936094
228,The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,Non Fiction,4.7,858.0,4.696625088877603
29,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,Non Fiction,4.7,615.0,4.695367261572783
219,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Non Fiction,4.642857142857143,7353.571428571428,4.642734519085893
63,"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,Non Fiction,4.6,37.0,4.6091818181818205
206,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,Non Fiction,4.6,220.0,4.60264379200566
10,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,Non Fiction,4.6,460.0,4.601367111761478
23,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,Non Fiction,4.6,798.0,4.600813718018508
242,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,Non Fiction,4.6,803.0,4.600808874458874
139,JOURNEY TO THE ICE P,RH Disney,Fiction,4.6,978.0,4.600669413345276
294,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,Non Fiction,4.6,1204.0,4.600547505677239
131,"I, Alex Cross",James Patterson,Fiction,4.6,1320.0,4.600500703423327
100,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,Non Fiction,4.6,1365.0,4.600484632343405
50,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,Fiction,4.6,1541.0,4.600430579559856
103,Going Rogue: An American Life,Sarah Palin,Non Fiction,4.6,1636.0,4.600406129435418
55,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,Non Fiction,4.6,1651.0,4.600402520465316
211,Switch: How to Change Things When Change Is Hard,Chip Heath,Non Fiction,4.6,1907.0,4.600349513655069
27,Balance (Angie's Extreme Stress Menders),Angie Grace,Non Fiction,4.6,1909.0,4.6003491544426796
1,11/22/63: A Novel,Stephen King,Fiction,4.6,2052.0,4.6003252534923185
297,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,Fiction,4.6,2122.0,4.600314707987705
73,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,Non Fiction,4.6,2134.0,4.600312968468657
54,Decision Points,George W. Bush,Non Fiction,4.6,2137.0,4.6003125365894455
293,"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,Fiction,4.6,2186.0,4.6003056475688044
221,The Amateur,Edward Klein,Non Fiction,4.6,2580.0,4.600259631083476
279,The Mueller Report,The Washington Post,Non Fiction,4.6,2744.0,4.600244320224903
15,Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,Non Fiction,4.6,2925.0,4.600229390460991
181,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,Non Fiction,4.6,3163.0,4.600212329545454
241,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,Non Fiction,4.6,3207.0,4.6002094496132715
199,Sarah's Key,Tatiana de Rosnay,Fiction,4.6,3619.0,4.600185846429282
11,A Stolen Life: A Memoir,Jaycee Dugard,Non Fiction,4.6,4149.0,4.6001623159449245
323,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,Non Fiction,4.6,4360.0,4.600154526846817
96,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,Non Fiction,4.6,4799.0,4.6001404992856605
47,Cutting for Stone,Abraham Verghese,Fiction,4.6,4866.0,4.60013857934845
13,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,Non Fiction,4.6,5013.0,4.600134545454545
147,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,4.6,5235.0,4.600128879845496
136,Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,Fiction,4.6,5299.0,4.600127334060242
26,Baby Touch and Feel: Animals,DK,Non Fiction,4.6,5360.0,4.600125894857412
335,What Happened,Hillary Rodham Clinton,Non Fiction,4.6,5492.0,4.600122889228695
170,Mindset: The New Psychology of Success,Carol S. Dweck,Non Fiction,4.6,5542.0,4.600121787873356
94,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,Fiction,4.6,5594.0,4.600120663211766
174,New Moon (The Twilight Saga),Stephenie Meyer,Fiction,4.6,5680.0,4.6001188480926105
109,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,Non Fiction,4.6,5972.0,4.600113072815019
344,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with,Non Fiction,4.6,6669.0,4.600101320391508
152,Laugh-Out-Loud Jokes for Kids,Rob Elliott,Non Fiction,4.6,6990.0,4.6000966919802835
311,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,Non Fiction,4.6,7508.0,4.600090053617687
98,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,Non Fiction,4.6,7660.0,4.600088275243011
207,Steve Jobs,Walter Isaacson,Non Fiction,4.6,7827.0,4.600086400628872
60,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,Non Fiction,4.6,7955.0,4.600085016835016
176,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,Non Fiction,4.6,8093.0,4.600083573744827
142,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,Non Fiction,4.6,8393.0,4.600080599590208
144,Killing Kennedy: The End of Camelot,Bill O'Reilly,Non Fiction,4.6,8634.0,4.600078359421687
34,"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,Fiction,4.6,9769.0,4.6000692896742255
193,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Non Fiction,4.6,10009.0,4.600067634336597
105,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,Non Fiction,4.6,10141.0,4.600066757176799
38,Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,Non Fiction,4.6,10369.0,4.600065294497929
185,Outliers: The Story of Success,Malcolm Gladwell,Non Fiction,4.6,10426.0,4.600064938788631
82,Fahrenheit 451,Ray Bradbury,Fiction,4.6,10721.0,4.600063158072639
290,The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,Non Fiction,4.6,10795.0,4.600062726601315
146,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,4.6,10927.0,4.6000619714105655
316,"Thinking, Fast and Slow",Daniel Kahneman,Non Fiction,4.6,11034.0,4.600061372463684
256,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,Fiction,4.6,11098.0,4.6000610197167
320,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,Non Fiction,4.6,11128.0,4.600060855758661
21,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,Non Fiction,4.6,15921.0,4.600042577675489
296,The Shack: Where Tragedy Confronts Eternity,William P. Young,Fiction,4.6,19720.0,4.600034390572731
184,Orphan Train,Christina Baker Kline,Fiction,4.6,21930.0,4.600030930693561
99,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,Non Fiction,4.6,22288.0,4.600030434694085
